B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1561,47472,42,003,565100,2021,ACS 2021
1573,53655,42,003,565200,2021,ACS 2021
532,61250,42,003,565300,2021,ACS 2021
0,-666666666,42,003,980000,2021,ACS 2021
0,-666666666,42,003,980100,2021,ACS 2021
0,-666666666,42,003,980300,2021,ACS 2021
0,-666666666,42,003,980400,2021,ACS 2021
19,26250,42,003,980500,2021,ACS 2021
3,-666666666,42,003,980600,2021,ACS 2021
0,-666666666,42,003,980700,2021,ACS 2021
0,-666666666,42,003,980800,2021,ACS 2021
0,-666666666,42,003,980900,2021,ACS 2021
0,-666666666,42,003,981000,2021,ACS 2021
0,-666666666,42,003,981100,2021,ACS 2021
0,-666666666,42,003,981200,2021,ACS 2021
0,-666666666,42,003,981800,2021,ACS 2021
9,-666666666,42,003,982200,2021,ACS 2021
1890,48846,42,005,950100,2021,ACS 2021
888,47333,42,005,950200,2021,ACS 2021
1314,51250,42,005,950300,2021,ACS 2021
1012,63258,42,005,950400,2021,ACS 2021
2332,84235,42,005,950500,2021,ACS 2021
1253,54243,42,005,950600,2021,ACS 2021
1532,60671,42,005,950700,2021,ACS 2021
1535,64852,42,005,950800,2021,ACS 2021
2089,55475,42,005,950900,2021,ACS 2021
1362,48476,42,005,951000,2021,ACS 2021
1617,36899,42,005,951100,2021,ACS 2021
2227,68955,42,005,951200,2021,ACS 2021
1053,66645,42,005,951300,2021,ACS 2021
1142,57151,42,005,951400,2021,ACS 2021
1177,50893,42,005,951500,2021,ACS 2021
1996,54547,42,005,951600,2021,ACS 2021
1530,68186,42,005,951700,2021,ACS 2021
929,52212,42,005,951800,2021,ACS 2021
826,34219,42,005,951900,2021,ACS 2021
874,53173,42,007,600601,2021,ACS 2021
1107,71625,42,007,600602,2021,ACS 2021
1299,86932,42,007,600701,2021,ACS 2021
2002,101746,42,007,600702,2021,ACS 2021
1527,79567,42,007,601000,2021,ACS 2021
1043,42068,42,007,601100,2021,ACS 2021
1333,21790,42,007,601200,2021,ACS 2021
1107,45063,42,007,601300,2021,ACS 2021
1481,46027,42,007,601400,2021,ACS 2021
668,43333,42,007,601600,2021,ACS 2021
1369,77476,42,007,601700,2021,ACS 2021
1720,66481,42,007,601801,2021,ACS 2021
1406,53704,42,007,601802,2021,ACS 2021
1563,35088,42,007,602100,2021,ACS 2021
1202,48529,42,007,602300,2021,ACS 2021
883,83994,42,007,602400,2021,ACS 2021
723,42361,42,007,602500,2021,ACS 2021
2042,98071,42,007,602601,2021,ACS 2021
1251,82639,42,007,602602,2021,ACS 2021
681,57583,42,007,602701,2021,ACS 2021
1299,68807,42,007,602702,2021,ACS 2021
1100,54375,42,007,602800,2021,ACS 2021
1070,73800,42,007,602900,2021,ACS 2021
1069,77560,42,007,603000,2021,ACS 2021
2856,92743,42,007,603202,2021,ACS 2021
1644,55793,42,007,603300,2021,ACS 2021
805,46793,42,007,603400,2021,ACS 2021
638,53088,42,007,603500,2021,ACS 2021
1087,57091,42,007,603600,2021,ACS 2021
1708,55455,42,007,603700,2021,ACS 2021
1172,86010,42,007,603801,2021,ACS 2021
1336,101806,42,007,603802,2021,ACS 2021
1301,69145,42,007,603803,2021,ACS 2021
1415,64708,42,007,603900,2021,ACS 2021
1197,42390,42,007,604000,2021,ACS 2021
1133,45781,42,007,604100,2021,ACS 2021
794,54605,42,007,604200,2021,ACS 2021
1033,19612,42,007,604500,2021,ACS 2021
1519,45743,42,007,604600,2021,ACS 2021
799,35020,42,007,604700,2021,ACS 2021
2106,65263,42,007,604800,2021,ACS 2021
1667,89176,42,007,604901,2021,ACS 2021
2095,65083,42,007,604902,2021,ACS 2021
933,82225,42,007,605001,2021,ACS 2021
1234,76458,42,007,605002,2021,ACS 2021
1935,75380,42,007,605100,2021,ACS 2021
1152,47264,42,007,605200,2021,ACS 2021
1257,57175,42,007,605300,2021,ACS 2021
1824,34293,42,007,605400,2021,ACS 2021
2173,74792,42,007,605500,2021,ACS 2021
1382,57016,42,007,605600,2021,ACS 2021
1210,38771,42,007,605700,2021,ACS 2021
2493,89918,42,007,605800,2021,ACS 2021
1334,54615,42,009,960100,2021,ACS 2021
1357,54681,42,009,960200,2021,ACS 2021
2039,47393,42,009,960300,2021,ACS 2021
1833,59596,42,009,960400,2021,ACS 2021
1303,45145,42,009,960500,2021,ACS 2021
2267,47026,42,009,960600,2021,ACS 2021
1265,57182,42,009,960700,2021,ACS 2021
2159,68376,42,009,960800,2021,ACS 2021
1980,55804,42,009,960900,2021,ACS 2021
1068,50208,42,009,961001,2021,ACS 2021
1173,57560,42,009,961002,2021,ACS 2021
1556,50655,42,009,961100,2021,ACS 2021
2213,18204,42,011,000100,2021,ACS 2021
1835,21933,42,011,000200,2021,ACS 2021
790,54875,42,011,000300,2021,ACS 2021
1336,39655,42,011,000400,2021,ACS 2021
1421,50488,42,011,000500,2021,ACS 2021
1018,80147,42,011,000600,2021,ACS 2021
1681,29169,42,011,000700,2021,ACS 2021
1437,46815,42,011,000800,2021,ACS 2021
1008,32635,42,011,000900,2021,ACS 2021
1057,38471,42,011,001000,2021,ACS 2021
1235,44905,42,011,001100,2021,ACS 2021
580,63654,42,011,001200,2021,ACS 2021
1070,29838,42,011,001300,2021,ACS 2021
1497,28240,42,011,001400,2021,ACS 2021
1053,54493,42,011,001500,2021,ACS 2021
961,53951,42,011,001600,2021,ACS 2021
1152,42073,42,011,001700,2021,ACS 2021
1206,60000,42,011,001800,2021,ACS 2021
1077,19336,42,011,001900,2021,ACS 2021
615,72560,42,011,002001,2021,ACS 2021
1219,46059,42,011,002002,2021,ACS 2021
967,48264,42,011,002100,2021,ACS 2021
739,33125,42,011,002200,2021,ACS 2021
773,34258,42,011,002300,2021,ACS 2021
1311,20993,42,011,002500,2021,ACS 2021
1256,31262,42,011,002600,2021,ACS 2021
981,63079,42,011,002700,2021,ACS 2021
892,54548,42,011,002900,2021,ACS 2021
